Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
1620;Frøya;5,6;6;5,7;6;3,6;1,8;1;1,4;1;4,7;1,7
419;Sør-Odal;3,5;2,5;4,1;3,5;2,2;2,7;2,3;3,5;3,3;5,4;1,2
1927;Tranøy;2,7;2,8;4,3;2,4;3;1,2;3,7;4,7;3;4,8;2,7
128;Rakkestad;3,7;2,2;3,9;3,5;2,3;2,2;2,9;2,8;3;5,1;1,5
1525;Stranda;2,4;4,3;2,2;3,5;6;2;4,1;;1;6;1,7
1231;Ullensvang;2,4;1;4,3;3,3;5,6;4,6;3,3;4,8;3,5;2,5;2
815;Kragerø;2,9;3,3;3,2;2,6;1;4,1;3,6;3,5;2,9;4,8;1,7
1219;Bømlo;3,8;3,8;3,3;3,8;3,8;1,9;3,1;4,3;3;3,8;1,6
1832;Hemnes;1,5;4,5;2,3;2;2,9;3;6;3;5,2;2;4,7
430;Stor-Elvdal;1,8;3,3;2,1;2,7;1;4,7;4,2;5,1;4,2;4,2;1,4
534;Gran;3,5;3,6;3,8;3,8;3;2,8;2,3;3,9;2,8;5;1
1942;Nordreisa;4,2;3,1;4,9;3,7;2,3;3,1;1,5;3,6;1;5,7;2,2
538;Nordre Land;2,8;3,5;4,3;2,8;3;3,7;2,6;5,5;2,2;4,5;1,8
543;Vestre Slidre;1,6;1,5;3,4;1,7;5,8;4,7;2,4;4,5;3,3;5,1;2
1426;Luster;3,3;4,2;3,2;3,8;5,7;2,1;3,5;4,6;3,5;2,1;3,8
701;Horten;3,7;3,2;4,1;3,9;1;3,8;1,3;3,4;2,5;6;1
1223;Tysnes;2,5;2,5;4;2,4;4,2;2,6;2,5;3,9;3,9;4,7;1,9
528;Østre Toten;3;2,9;3,8;3,3;3;2,2;3,7;3,3;3,4;4,1;1,2
1411;Gulen;3,3;6;2,3;3,6;6;3,4;1,9;5,5;4,1;2,8;2,9
814;Bamble;2,3;2;2,9;1,9;1,7;4,6;3,3;5;4,2;4,1;1,6
620;Hol;2,7;5,6;1,8;2,7;5,1;1,4;4,5;5;5,5;1;5,2
1870;Sortland;3,9;3,2;4;4,3;3,3;3,1;1,6;3,7;2,1;4,9;1,6
831;Fyresdal;3,6;3,7;3,9;3,2;3,8;4,3;2,8;6;2,8;1,5;4,7
1818;Herøy;2,9;4,8;3,8;2,5;1;3,1;2,8;2;3,8;4,9;2,5
529;Vestre Toten;3,3;3,2;3,2;3,3;3,1;3,2;3,4;2;2,1;5;1,4
1936;Karlsøy;1,5;3,8;3,6;1,9;2,8;5,1;4,4;4;2,5;3,7;3,3
1612;Hemne;2,9;3,7;2,8;3,6;3,4;3,1;2,7;5,3;4,1;3,6;2,1
1923;Salangen;2,7;5,6;4,2;3,1;2,8;5,3;3,7;3,6;2,9;2,3;2,4
429;Åmot;3,4;4,4;1,9;4;2,1;1,4;3,4;2,9;2,5;5,5;2
